TOTAL_MATCHES=1472 FILES_SCANNED=626
rel_path:line [pattern] class::func | code
------------------------------------------------------------------------------------------------------------------------
_audit_script.py:  24 [timezone              ] -::- | ("timezone",               re.compile(r"\btimezone\b")),
_audit_script.py:  25 [timedelta             ] -::- | ("timedelta",              re.compile(r"\btimedelta\b")),
_audit_script.py:  27 [pd.to_datetime        ] -::- | ("pd.to_datetime",         re.compile(r"pd\.to_datetime|pandas\.to_datetime|to_datetime\s*\(")),
_audit_script.py:  28 [pd.Timestamp          ] -::- | ("pd.Timestamp",           re.compile(r"pd\.Timestamp|pd\.to_datetime")),
_audit_script.py:  34 [sleep(                ] -::- | ("sleep(",                 re.compile(r"(?<!\.)\bsleep\s*\(")),  # bare sleep (from time import sleep)
_audit_script.py:  35 [DeterministicClock    ] -::- | ("DeterministicClock",     re.compile(r"\bDeterministicClock\b")),
_audit_script.py:  36 [market_sessions       ] -::- | ("market_sessions",        re.compile(r"market_sessions")),
_audit_script.py:  37 [clock var             ] -::- | ("clock var",              re.compile(r"\bclock\b", re.I)),
app/dashboard/dashboard.py:  50 [import time           ] -::- | import time
app/dashboard/dashboard.py:  55 [time.sleep            ] -::- | time.sleep(settings.MONITORING_INTERVAL)
app/dashboard/observability_panel.py:   6 [import time           ] -::- | import time
app/terminal/pages/01_Scanner.py:   8 [import time           ] -::- | import time
app/terminal/pages/01_Scanner.py:  32 [time.sleep            ] -::- | time.sleep(settings.MONITORING_INTERVAL)
app/terminal/pages/07_Observabilidade.py:   7 [import time           ] -::- | import time
debug_atomic_insights.py:  10 [import time           ] -::- | import time
debug_atomic_test2.py:   5 [import time           ] -::- | import time
debug_atomic_test2.py:  21 [time.time             ] -::- | write_data = {"test": "new_data", "timestamp": time.time()}
debug_exact.py:  10 [import time           ] -::- | import time
debug_keyerror.py:   6 [import time           ] -::- | import time
debug_keyerror.py:  33 [time.sleep            ] -::- | time.sleep(1)
debug_path.py:   8 [import time           ] -::- | import time
debug_result.py:   6 [import time           ] -::- | import time
debug_result.py:  38 [time.sleep            ] -::- | time.sleep(1)
debug_result2.py:   6 [import time           ] -::- | import time
debug_result2.py:  37 [time.sleep            ] -::- | time.sleep(1)
debug_test.py:   9 [import time           ] -::- | import time
f_test_final.py:  29 [time.sleep            ] -::- | time.sleep(0.01)  # Small delay to ensure we're before os.replace
h_test_final.py:  29 [time.sleep            ] -::- | time.sleep(0.005)
mercury_ai/analysis/benchmark_framework.py:  15 [import time           ] -::- | import time
