symbol,n_base,wins_base,acc_base,n_filt,wins_filt,acc_filt,st,delta_pp,cobertura,fp_cut
EURUSD=X,450,217,48.22,107,47,43.93,OK,-4.29,0.238,76.2
GBPUSD=X,1042,506,48.56,247,122,49.39,OK,0.83,0.237,76.3
USDJPY=X,1157,576,49.78,249,123,49.4,OK,-0.38,0.215,78.5
USDCHF=X,1096,557,50.82,326,162,49.69,OK,-1.13,0.297,70.3
AUDUSD=X,693,320,46.18,155,66,42.58,OK,-3.6,0.224,77.6
NZDUSD=X,861,406,47.15,186,84,45.16,OK,-1.99,0.216,78.4
USDCAD=X,1103,545,49.41,271,130,47.97,OK,-1.44,0.246,75.4
EURGBP=X,1008,484,48.02,229,109,47.6,OK,-0.42,0.227,77.3
EURJPY=X,1140,574,50.35,306,137,44.77,OK,-5.58,0.268,73.2
EURCHF=X,1054,519,49.24,224,107,47.77,OK,-1.47,0.213,78.7
EURAUD=X,1152,543,47.14,232,105,45.26,OK,-1.88,0.201,79.9
EURNZD=X,1161,557,47.98,304,153,50.33,OK,2.35,0.262,73.8
EURCAD=X,1131,539,47.66,364,171,46.98,OK,-0.68,0.322,67.8
GBPCHF=X,1115,571,51.21,259,135,52.12,OK,0.91,0.232,76.8
GBPAUD=X,1144,574,50.17,246,127,51.63,OK,1.46,0.215,78.5
GBPNZD=X,1152,567,49.22,264,131,49.62,OK,0.4,0.229,77.1
GBPCAD=X,1149,540,47.0,288,122,42.36,OK,-4.64,0.251,74.9
CHFJPY=X,1149,593,51.61,343,168,48.98,OK,-2.63,0.299,70.1
AUDJPY=X,1151,580,50.39,187,88,47.06,OK,-3.33,0.162,83.8
AUDCHF=X,1073,549,51.16,255,134,52.55,OK,1.39,0.238,76.2
AUDNZD=X,1120,574,51.25,238,114,47.9,OK,-3.35,0.212,78.8
NZDJPY=X,1150,587,51.04,307,157,51.14,OK,0.1,0.267,73.3
NZDCHF=X,1066,510,47.84,287,144,50.17,OK,2.33,0.269,73.1
NZDCAD=X,1129,545,48.27,324,172,53.09,OK,4.82,0.287,71.3
CADJPY=X,1138,559,49.12,269,126,46.84,OK,-2.28,0.236,76.4
CADCHF=X,1083,550,50.78,325,165,50.77,OK,-0.01,0.3,70.0
USDAUD=X,693,320,46.18,159,68,42.77,OK,-3.41,0.229,77.1
BTC-USD,1191,594,49.87,341,161,47.21,OK,-2.66,0.286,71.4
ETH-USD,1189,574,48.28,410,208,50.73,OK,2.45,0.345,65.5
BNB-USD,1177,576,48.94,249,115,46.18,OK,-2.76,0.212,78.8
XRP-USD,1131,546,48.28,323,168,52.01,OK,3.73,0.286,71.4
LTC-USD,1185,586,49.45,269,122,45.35,OK,-4.1,0.227,77.3
SOL-USD,1116,548,49.1,343,164,47.81,OK,-1.29,0.307,69.3
DOGE-USD,1075,511,47.53,299,144,48.16,OK,0.63,0.278,72.2
AVAX-USD,1070,504,47.1,288,140,48.61,OK,1.51,0.269,73.1
SUI-USD,0,0,0.0,0,0,0.0,SEM_DADOS,0.0,0.0,0.0
XLM-USD,1186,560,47.22,310,142,45.81,OK,-1.41,0.261,73.9
XPL-USD,950,452,47.58,291,143,49.14,OK,1.56,0.306,69.4
LINK-USD,1107,541,48.87,273,140,51.28,OK,2.41,0.247,75.3
